tier,entries,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak
CHALLENGER,"{'summonerId': 'Wq6S0VXK-5RxqhCIoj43jaY7yap4wlOluyY2OKT35Gzvng', 'summonerName': '관자빵', 'leaguePoints': 1026, 'rank': 'I', 'wins': 202, 'losses': 170, 'veteran': False, 'inactive': False, 'freshBlood': False, 'hotStreak': True}",Wq6S0VXK-5RxqhCIoj43jaY7yap4wlOluyY2OKT35Gzvng,관자빵,1026,202,170,False,False,False,True
CHALLENGER,"{'summonerId': 'kRsaMVAuKMJ98pVtiiHuIliwEpJiGqSDRVhfrS50TdPkwtCXWMRfDQR-dA', 'summonerName': 'Inv Artist', 'leaguePoints': 1338, 'rank': 'I', 'wins': 428, 'losses': 273, 'veteran': True, 'inactive': False, 'freshBlood': False, 'hotStreak': True}",kRsaMVAuKMJ98pVtiiHuIliwEpJiGqSDRVhfrS50TdPkwtCXWMRfDQR-dA,Inv Artist,1338,428,273,True,False,False,True
CHALLENGER,"{'summonerId': 'LZYr5TN16DmatrYfG5nHRx7xjLLD-8dmSTvgdb5Uk-88CcY', 'summonerName': 'fanny1', 'leaguePoints': 1088, 'rank': 'I', 'wins': 377, 'losses': 340, 'veteran': False, 'inactive': False, 'freshBlood': True, 'hotStreak': True}",LZYr5TN16DmatrYfG5nHRx7xjLLD-8dmSTvgdb5Uk-88CcY,fanny1,1088,377,340,False,False,True,True
CHALLENGER,"{'summonerId': 'EevAodEB1ogihddloTtNQmr237TbPYwIGPedgVJ4qum96XyQWTJw8DBHhw', 'summonerName': '엠 돈', 'leaguePoints': 1055, 'rank': 'I', 'wins': 299, 'losses': 260, 'veteran': False, 'inactive': False, 'freshBlood': False, 'hotStreak': False}",EevAodEB1ogihddloTtNQmr237TbPYwIGPedgVJ4qum96XyQWTJw8DBHhw,엠 돈,1055,299,260,False,False,False,False
CHALLENGER,"{'summonerId': 'oarzOITC6LUddm097p5zMhpXFT2zeRSX4ZHJ77mv1zcfor0', 'summonerName': '철회랜드', 'leaguePoints': 1025, 'rank': 'I', 'wins': 196, 'losses': 158, 'veteran': False, 'inactive': False, 'freshBlood': True, 'hotStreak': True}",oarzOITC6LUddm097p5zMhpXFT2zeRSX4ZHJ77mv1zcfor0,철회랜드,1025,196,158,False,False,True,True
CHALLENGER,"{'summonerId': 'wVkJM6MIlpPEVBzIcdK_rQfZH3TOzAXdOO2p4i0ojFEBwX4', 'summonerName': 'My Paradise', 'leaguePoints': 1325, 'rank': 'I', 'wins': 330, 'losses': 194, 'veteran': True, 'inactive': False, 'freshBlood': False, 'hotStreak': False}",wVkJM6MIlpPEVBzIcdK_rQfZH3TOzAXdOO2p4i0ojFEBwX4,My Paradise,1325,330,194,True,False,False,False
CHALLENGER,"{'summonerId': 'Nd7ODQibq716gsRg-VzRsgvAQO-bVvwp57_7TGX-_Z6-D5M', 'summonerName': '임 세', 'leaguePoints': 1026, 'rank': 'I', 'wins': 405, 'losses': 382, 'veteran': False, 'inactive': False, 'freshBlood': True, 'hotStreak': True}",Nd7ODQibq716gsRg-VzRsgvAQO-bVvwp57_7TGX-_Z6-D5M,임 세,1026,405,382,False,False,True,True
CHALLENGER,"{'summonerId': '6zWTgI1BEt9uOStm7ZxzLA1oJ9ZN8ON5t3gjy-UI54tQfQ', 'summonerName': '영도박사', 'leaguePoints': 1017, 'rank': 'I', 'wins': 251, 'losses': 225, 'veteran': False, 'inactive': False, 'freshBlood': True, 'hotStreak': False}",6zWTgI1BEt9uOStm7ZxzLA1oJ9ZN8ON5t3gjy-UI54tQfQ,영도박사,1017,251,225,False,False,True,False
CHALLENGER,"{'summonerId': '5X3QgzSNQpe0rSN6Ct_0FpZ-DDL9Yyt2_5afheRzbg6fNQ', 'summonerName': '돈더미', 'leaguePoints': 1029, 'rank': 'I', 'wins': 162, 'losses': 132, 'veteran': False, 'inactive': False, 'freshBlood': True, 'hotStreak': True}",5X3QgzSNQpe0rSN6Ct_0FpZ-DDL9Yyt2_5afheRzbg6fNQ,돈더미,1029,162,132,False,False,True,True
CHALLENGER,"{'summonerId': 'yFt6HYWrPiqVa8sQiiLQFyGSdaf85ED9UENsOPVxY3-EKk5_', 'summonerName': '신수원 임', 'leaguePoints': 1154, 'rank': 'I', 'wins': 134, 'losses': 96, 'veteran': False, 'inactive': False, 'freshBlood': False, 'hotStreak': False}",yFt6HYWrPiqVa8sQiiLQFyGSdaf85ED9UENsOPVxY3-EKk5_,신수원 임,1154,134,96,False,False,False,False
CHALLENGER,"{'summonerId': '-UnUkIdmT98IyUCAGvTvmMDSmjMxHkXwxhEUi9wfhVAoGQ', 'summonerName': 'Vietnam Mango', 'leaguePoints': 1101, 'rank': 'I', 'wins': 130, 'losses': 86, 'veteran': True, 'inactive': False, 'freshBlood': False, 'hotStreak': False}",-UnUkIdmT98IyUCAGvTvmMDSmjMxHkXwxhEUi9wfhVAoGQ,Vietnam Mango,1101,130,86,True,False,False,False
CHALLENGER,"{'summonerId': 'covRl3ItPfn07ld0FE3y1O5yYK_RpKDMVxbDHAvW6dvamLQ', 'summonerName': '우찬이찬우', 'leaguePoints': 1023, 'rank': 'I', 'wins': 171, 'losses': 132, 'veteran': False, 'inactive': False, 'freshBlood': False, 'hotStreak': False}",covRl3ItPfn07ld0FE3y1O5yYK_RpKDMVxbDHAvW6dvamLQ,우찬이찬우,1023,171,132,False,False,False,False
CHALLENGER,"{'summonerId': 'Rbbvg01VIxXTOYN4_XsYg33ZjchG2rGferOlQlbQ108XxnJWPgVcb3Pa8Q', 'summonerName': '새하얀하얀새는오늘도평화롭습니다', 'leaguePoints': 1022, 'rank': 'I', 'wins': 389, 'losses': 301, 'veteran': True, 'inactive': False, 'freshBlood': False, 'hotStreak': False}",Rbbvg01VIxXTOYN4_XsYg33ZjchG2rGferOlQlbQ108XxnJWPgVcb3Pa8Q,새하얀하얀새는오늘도평화롭습니다,1022,389,301,True,False,False,False
CHALLENGER,"{'summonerId': 'SS1GiOkH4lMelLIXzYN5X0VJGKUU42tmNUSp1q8p3T6QnA', 'summonerName': '술살돈', 'leaguePoints': 1054, 'rank': 'I', 'wins': 198, 'losses': 106, 'veteran': True, 'inactive': False, 'freshBlood': False, 'hotStreak': False}",SS1GiOkH4lMelLIXzYN5X0VJGKUU42tmNUSp1q8p3T6QnA,술살돈,1054,198,106,True,False,False,False
CHALLENGER,"{'summonerId': 'BkhHc4p94kL0Hi4xpCaXEtcB1RMpKObtv5so0WaMdl6pHN4', 'summonerName': 'Sweet 3Bee', 'leaguePoints': 1058, 'rank': 'I', 'wins': 575, 'losses': 470, 'veteran': False, 'inactive': False, 'freshBlood': True, 'hotStreak': False}",BkhHc4p94kL0Hi4xpCaXEtcB1RMpKObtv5so0WaMdl6pHN4,Sweet 3Bee,1058,575,470,False,False,True,False
CHALLENGER,"{'summonerId': 'xH6asemyWx1LMmHyuc0hzU7KDX0Q6GY9IZC5MsyuvuEKwhQ0M3_FubXzUA', 'summonerName': '원파링', 'leaguePoints': 1352, 'rank': 'I', 'wins': 140, 'losses': 84, 'veteran': True, 'inactive': False, 'freshBlood': False, 'hotStreak': False}",xH6asemyWx1LMmHyuc0hzU7KDX0Q6GY9IZC5MsyuvuEKwhQ0M3_FubXzUA,원파링,1352,140,84,True,False,False,False
CHALLENGER,"{'summonerId': 'EvCsbQuwSjQZCbAc9AFTyemHVH3VrkhPWi_iEYhO0cZXppL2SehupXClIw', 'summonerName': 'InV Jiro', 'leaguePoints': 1187, 'rank': 'I', 'wins': 155, 'losses': 109, 'veteran': False, 'inactive': False, 'freshBlood': False, 'hotStreak': True}",EvCsbQuwSjQZCbAc9AFTyemHVH3VrkhPWi_iEYhO0cZXppL2SehupXClIw,InV Jiro,1187,155,109,False,False,False,True
CHALLENGER,"{'summonerId': '8HbnwUziw4zWS5hVJuurorERYNAGpWFlu1k3squFA-7mfGMk24XNokXfAQ', 'summonerName': '환희03', 'leaguePoints': 937, 'rank': 'I', 'wins': 192, 'losses': 160, 'veteran': False, 'inactive': False, 'freshBlood': False, 'hotStreak': False}",8HbnwUziw4zWS5hVJuurorERYNAGpWFlu1k3squFA-7mfGMk24XNokXfAQ,환희03,937,192,160,False,False,False,False
CHALLENGER,"{'summonerId': 'h3NNm6hwU-WZEzEX7AUDS09t3Znga2BicACoy9fSgomcLQ', 'summonerName': 'Lee 종원', 'leaguePoints': 1185, 'rank': 'I', 'wins': 185, 'losses': 130, 'veteran': False, 'inactive': False, 'freshBlood': False, 'hotStreak': True}",h3NNm6hwU-WZEzEX7AUDS09t3Znga2BicACoy9fSgomcLQ,Lee 종원,1185,185,130,False,False,False,True
CHALLENGER,"{'summonerId': '-ajSSZqHRF3xdxXPgVseSemDIrVXM3eZHuLlVzpTHS4j8g', 'summonerName': '최killing', 'leaguePoints': 1051, 'rank': 'I', 'wins': 188, 'losses': 149, 'veteran': False, 'inactive': False, 'freshBlood': False, 'hotStreak': False}",-ajSSZqHRF3xdxXPgVseSemDIrVXM3eZHuLlVzpTHS4j8g,최killing,1051,188,149,False,False,False,False
CHALLENGER,"{'summonerId': '0IPZLH-k2T2UXYZc0QLDQPh7XAM297Lhtaale2TnnPQAuYM', 'summonerName': '김도칠', 'leaguePoints': 1375, 'rank': 'I', 'wins': 289, 'losses': 177, 'veteran': True, 'inactive': False, 'freshBlood': False, 'hotStreak': False}",0IPZLH-k2T2UXYZc0QLDQPh7XAM297Lhtaale2TnnPQAuYM,김도칠,1375,289,177,True,False,False,False
CHALLENGER,"{'summonerId': 'YNpAl9hcU187Lqd6DiS8JT-dKsgPWyLtOYjA1UnWuOip1Dw', 'summonerName': '버스기사김뚜벅', 'leaguePoints': 1088, 'rank': 'I', 'wins': 267, 'losses': 230, 'veteran': False, 'inactive': False, 'freshBlood': False, 'hotStreak': False}",YNpAl9hcU187Lqd6DiS8JT-dKsgPWyLtOYjA1UnWuOip1Dw,버스기사김뚜벅,1088,267,230,False,False,False,False
CHALLENGER,"{'summonerId': 'WqlEXOu8xpVAEzE8qMYM92nt2DN2YqnoqI1Qa2azlm7gSok', 'summonerName': '이준석과 윤석열', 'leaguePoints': 1203, 'rank': 'I', 'wins': 340, 'losses': 298, 'veteran': True, 'inactive': False, 'freshBlood': False, 'hotStreak': True}",WqlEXOu8xpVAEzE8qMYM92nt2DN2YqnoqI1Qa2azlm7gSok,이준석과 윤석열,1203,340,298,True,False,False,True
CHALLENGER,"{'summonerId': 'tWcZBQHgrsbKGODixsnrN19SIKQ9oxSVREgzdV4Ss1F9wjI', 'summonerName': 'gochess', 'leaguePoints': 1125, 'rank': 'I', 'wins': 265, 'losses': 196, 'veteran': False, 'inactive': False, 'freshBlood': False, 'hotStreak': False}",tWcZBQHgrsbKGODixsnrN19SIKQ9oxSVREgzdV4Ss1F9wjI,gochess,1125,265,196,False,False,False,False
CHALLENGER,"{'summonerId': 'VH1Vw4vZ3f_aIFG__xDK7X0k0VCKSEMOglv5_dXDupqfrhz0XXjmZlJRxw', 'summonerName': '공략은 달님', 'leaguePoints': 1121, 'rank': 'I', 'wins': 138, 'losses': 80, 'veteran': False, 'inactive': False, 'freshBlood': False, 'hotStreak': True}",VH1Vw4vZ3f_aIFG__xDK7X0k0VCKSEMOglv5_dXDupqfrhz0XXjmZlJRxw,공략은 달님,1121,138,80,False,False,False,True
CHALLENGER,"{'summonerId': 'MrQkvy47Hqh3JR8RfuAADiJ0Q0u8zdyhX19iQj5HLkWr528', 'summonerName': '아갓어', 'leaguePoints': 1190, 'rank': 'I', 'wins': 324, 'losses': 266, 'veteran': True, 'inactive': False, 'freshBlood': False, 'hotStreak': True}",MrQkvy47Hqh3JR8RfuAADiJ0Q0u8zdyhX19iQj5HLkWr528,아갓어,1190,324,266,True,False,False,True
CHALLENGER,"{'summonerId': 'KxrDS3-ARsGLpELhwMNgzH-q_DN2Aalrn2DAPYP0BVZgrRc', 'summonerName': 'TwTF 김준민', 'leaguePoints': 1096, 'rank': 'I', 'wins': 504, 'losses': 327, 'veteran': True, 'inactive': False, 'freshBlood': False, 'hotStreak': False}",KxrDS3-ARsGLpELhwMNgzH-q_DN2Aalrn2DAPYP0BVZgrRc,TwTF 김준민,1096,504,327,True,False,False,False
CHALLENGER,"{'summonerId': 'HinDMqnBa8VGwO8aonEId33ImtI0lBqUvEyRv5lR6xOefECYPBbd4e9Y9g', 'summonerName': 'Kanata Ch', 'leaguePoints': 1172, 'rank': 'I', 'wins': 192, 'losses': 104, 'veteran': True, 'inactive': False, 'freshBlood': False, 'hotStreak': False}",HinDMqnBa8VGwO8aonEId33ImtI0lBqUvEyRv5lR6xOefECYPBbd4e9Y9g,Kanata Ch,1172,192,104,True,False,False,False
CHALLENGER,"{'summonerId': 'Ow0bKom2JPIP3pQ3Zq41lSe0de8Dkt0-YTTfK6eM-fAbS1GCMIWM1EuttQ', 'summonerName': 'Trick C', 'leaguePoints': 1180, 'rank': 'I', 'wins': 283, 'losses': 230, 'veteran': True, 'inactive': False, 'freshBlood': False, 'hotStreak': False}",Ow0bKom2JPIP3pQ3Zq41lSe0de8Dkt0-YTTfK6eM-fAbS1GCMIWM1EuttQ,Trick C,1180,283,230,True,False,False,False
